     51/99     4.66G   0.02312  0.008713         0   0.03184        28       512    0.9383     0.983    0.9884    0.6707    0.0229  0.005223         0
     52/99     4.66G   0.02309  0.009187         0   0.03227        26       512    0.9404    0.9745    0.9818    0.6276   0.02411  0.005221         0
     53/99     4.66G   0.02283  0.008648         0   0.03147        33       512      0.94    0.9787    0.9804    0.6591   0.02384  0.005012         0
     54/99     4.66G   0.02204  0.008395         0   0.03044        23       512    0.9377    0.9872    0.9844    0.7348   0.02095  0.004722         0
     55/99     4.66G   0.02161   0.00835         0   0.02996        23       512    0.9232     0.983    0.9841    0.7044   0.02095  0.004842         0
     56/99     4.66G   0.02121  0.007822         0   0.02903        29       512    0.9214     0.983    0.9866    0.6983   0.02099  0.004956         0
     57/99     4.66G   0.02115   0.00849         0   0.02964        21       512    0.9686    0.9787    0.9936    0.6934   0.02122  0.005007         0
     58/99     4.66G   0.02054  0.008015         0   0.02855        20       512    0.9642    0.9745     0.986    0.6899   0.02154  0.005066         0
     59/99     4.66G   0.02068  0.007972         0   0.02865        23       512    0.9494    0.9787    0.9901    0.7062    0.0212  0.004971         0
     60/99     4.66G    0.0209  0.008563         0   0.02946        28       512    0.9597    0.9787    0.9886    0.7064   0.02088  0.004983         0
     61/99     4.66G   0.01948  0.007809         0   0.02729        19       512    0.9772     0.983    0.9939    0.7127   0.02014  0.004809         0
     62/99     4.66G   0.01992    0.0077         0   0.02762        26       512    0.9793    0.9787    0.9933    0.7307   0.01991   0.00476         0
     63/99     4.66G   0.01996  0.007833         0   0.02779        21       512    0.9688    0.9787    0.9863    0.7329   0.01985  0.004837         0
     64/99     4.66G    0.0194   0.00779         0   0.02719        24       512    0.9569    0.9872    0.9846    0.7172   0.02095  0.004852         0
     65/99     4.66G   0.01913  0.007282         0   0.02641        17       512     0.967    0.9745    0.9857    0.7171   0.02104  0.004991         0
     66/99     4.66G   0.01837  0.007204         0   0.02557        19       512    0.9625    0.9843    0.9881    0.7228   0.02123    0.0049         0
     67/99     4.66G   0.01865  0.007818         0   0.02647        22       512    0.9741    0.9787    0.9859    0.7186   0.02074   0.00502         0
     68/99     4.66G   0.01869  0.007803         0   0.02649        28       512    0.9675    0.9787     0.991    0.7117   0.02033  0.004965         0
     69/99     4.66G     0.018   0.00763         0   0.02563        28       512    0.9556     0.983    0.9928    0.6877   0.02183  0.004971         0
     70/99     4.66G   0.01772  0.007609         0   0.02533        24       512    0.9665     0.983    0.9897    0.7207   0.02047  0.004806         0
     71/99     4.66G   0.01784  0.007307         0   0.02515        18       512    0.9615    0.9745    0.9835    0.7072    0.0212  0.004815         0
     72/99     4.66G   0.01737  0.007635         0   0.02501        20       512    0.9407    0.9787    0.9885    0.7205   0.02016  0.004911         0
     73/99     4.66G   0.01753   0.00733         0   0.02486        33       512    0.9125     0.983    0.9871    0.6856   0.02104  0.005037         0
     74/99     4.66G   0.01732  0.007406         0   0.02472        21       512    0.9502    0.9751    0.9786    0.7135   0.02011   0.00503         0
     75/99     4.66G   0.01651  0.006945         0   0.02346        19       512    0.9745    0.9702    0.9837    0.7139   0.01976   0.00496         0
     76/99     4.66G    0.0166  0.007174         0   0.02377        22       512    0.9682     0.966    0.9858    0.7244   0.01924  0.004926         0
     77/99     4.66G   0.01586  0.006773         0   0.02263        25       512    0.9567     0.983    0.9915    0.7302   0.01986   0.00481         0
     78/99     4.66G   0.01668  0.006644         0   0.02333        22       512    0.9377    0.9872    0.9903    0.7391   0.01903  0.004786         0
     79/99     4.66G   0.01617  0.007064         0   0.02323        28       512    0.9676    0.9745    0.9866    0.7378   0.01942  0.004981         0
     80/99     4.66G   0.01561  0.006838         0   0.02245        23       512     0.974    0.9787    0.9872    0.6873   0.02055  0.005002         0
     81/99     4.66G   0.01655  0.007439         0   0.02399        26       512    0.9631    0.9745    0.9908    0.7188   0.01972  0.004885         0
     82/99     4.66G   0.01583    0.0067         0   0.02253        20       512    0.9549     0.983    0.9894    0.7003   0.02039  0.004927         0
     83/99     4.66G   0.01546  0.006224         0   0.02168        21       512    0.9547     0.986    0.9941    0.7225   0.01971  0.004702         0
     84/99     4.66G   0.01545  0.006643         0   0.02209        33       512    0.9694     0.983    0.9847    0.7169   0.01996  0.004867         0
     85/99     4.66G   0.01559  0.006767         0   0.02235        21       512    0.9674     0.983    0.9848    0.7151   0.02015  0.004842         0
     86/99     4.66G   0.01514   0.00633         0   0.02147        27       512    0.9462     0.983    0.9901     0.718   0.02063  0.004949         0
     87/99     4.66G   0.01545  0.007033         0   0.02248        24       512    0.9492    0.9872    0.9908    0.7223   0.01994  0.004798         0
     88/99     4.66G   0.01521  0.006648         0   0.02186        20       512    0.9615    0.9872    0.9849    0.7384   0.01877  0.004747         0
     89/99     4.66G   0.01537  0.006835         0    0.0222        15       512    0.9704     0.983    0.9848    0.7354   0.01926  0.004778         0
     90/99     4.66G    0.0149  0.006548         0   0.02145        26       512    0.9705    0.9805    0.9877    0.7151   0.02008  0.005022         0
     91/99     4.66G   0.01486   0.00642         0   0.02128        27       512    0.9787    0.9774    0.9874    0.7221    0.0193  0.005067         0
     92/99     4.66G   0.01487  0.006516         0   0.02139        25       512     0.975    0.9787    0.9907    0.7273   0.01917  0.005007         0
     93/99     4.66G   0.01511  0.006426         0   0.02154        27       512    0.9732    0.9787    0.9838    0.7212   0.01956  0.004993         0
     94/99     4.66G   0.01406  0.006354         0   0.02041        12       512    0.9694    0.9787    0.9817    0.7268   0.01922  0.004974         0
     95/99     4.66G   0.01433   0.00652         0   0.02085        18       512    0.9738    0.9787    0.9842     0.726   0.01934  0.005027         0
     96/99     4.66G   0.01417  0.006153         0   0.02033        29       512    0.9789    0.9787    0.9796    0.7202    0.0193  0.005055         0
     97/99     4.66G   0.01367  0.006169         0   0.01984        22       512    0.9787    0.9758    0.9787    0.7279   0.01984  0.004916         0
     98/99     4.66G   0.01436  0.006381         0   0.02074        28       512    0.9519    0.9787    0.9788    0.7206   0.02015  0.005089         0
     99/99     4.66G   0.01411  0.006158         0   0.02027        21       512    0.9515    0.9745    0.9789    0.7071   0.02077   0.00521         0
